param_criterion,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score,rank_test_score
gini,3,80,80,0.8052026618269812,0.041589011664457554,241
gini,4,2,2,0.8225650332728373,0.04329152036872847,21
gini,4,5,2,0.8225650332728373,0.04329152036872847,21
gini,4,10,2,0.8225650332728373,0.04329152036872847,21
gini,4,20,2,0.8225650332728373,0.04329152036872847,21
gini,4,40,2,0.8225045372050817,0.028606005585898254,37
gini,4,80,2,0.8189957652752572,0.03973887182843178,153
gini,4,2,5,0.8225650332728373,0.04329152036872847,21
gini,4,5,5,0.8225650332728373,0.04329152036872847,21
gini,4,10,5,0.8225650332728373,0.04329152036872847,21
gini,4,20,5,0.8225650332728373,0.04329152036872847,21
gini,4,40,5,0.8225045372050817,0.028606005585898254,37
gini,4,80,5,0.8189957652752572,0.03973887182843178,153
gini,4,2,10,0.8225650332728373,0.04329152036872847,21
gini,4,5,10,0.8225650332728373,0.04329152036872847,21
gini,4,10,10,0.8225650332728373,0.04329152036872847,21
gini,4,20,10,0.8225650332728373,0.04329152036872847,21
gini,4,40,10,0.8225045372050817,0.028606005585898254,37
gini,4,80,10,0.8189957652752572,0.03973887182843178,153
gini,4,2,20,0.8225045372050817,0.028606005585898254,37
gini,4,5,20,0.8225045372050817,0.028606005585898254,37
gini,4,10,20,0.8225045372050817,0.028606005585898254,37
gini,4,20,20,0.8225045372050817,0.028606005585898254,37
gini,4,40,20,0.8225045372050817,0.028606005585898254,37
gini,4,80,20,0.8189957652752572,0.03973887182843178,153
gini,4,2,40,0.8225045372050817,0.04374597782127807,37
gini,4,5,40,0.8225045372050817,0.04374597782127807,37
gini,4,10,40,0.8225045372050817,0.04374597782127807,37
gini,4,20,40,0.8225045372050817,0.04374597782127807,37
gini,4,40,40,0.8225045372050817,0.04374597782127807,37
gini,4,80,40,0.8225045372050817,0.04374597782127807,37
gini,4,2,80,0.8052026618269812,0.041589011664457554,241
gini,4,5,80,0.8052026618269812,0.041589011664457554,241
gini,4,10,80,0.8052026618269812,0.041589011664457554,241
gini,4,20,80,0.8052026618269812,0.041589011664457554,241
gini,4,40,80,0.8052026618269812,0.041589011664457554,241
